"ENTITY","CODE","YEAR","INCIDENCE_PER_1K_AT_RISK","DEATHS_PER_100K","INCIDENCE_PER_100K_AT_RISK","MORTALITY_IF_INFECTED_pct"
"Comoros","COM",2010,274.6,0.86255772975,27460,0.00314114249726875
"Comoros","COM",2015,5,0.129543971015,500,0.025908794203
"Congo","COG",2000,363.6,83.4321256664,36360,0.229461291711771
"Congo","COG",2005,350.5,91.0779654746,35050,0.259851542010271
"Congo","COG",2010,217,54.327386532,21700,0.250356619963134
"Congo","COG",2015,173.3,59.6056549452,17330,0.343944921784189
"Costa Rica","CRI",2000,2.9,0.0135577683918,290,0.00467509254889655
"Costa Rica","CRI",2005,5.1,0.00927794773868,510,0.00181920543895686
"Costa Rica","CRI",2010,0.1,0.00672566231401,10,0.0672566231401
"Costa Rica","CRI",2015,0,0.0047443199481,0,Inf
"Cote d'Ivoire","CIV",2000,525.4,147.788528614,52540,0.281287644868671
"Cote d'Ivoire","CIV",2005,530.9,170.557492259,53090,0.321261051533245
"Cote d'Ivoire","CIV",2010,446.2,152.849819144,44620,0.342558985082922
"Cote d'Ivoire","CIV",2015,348.8,90.0547266265,34880,0.258184422667718
"Democratic Republic of Congo","COD",2000,508.5,148.851747084,50850,0.292727132908555
"Democratic Republic of Congo","COD",2005,524.9,143.706637523,52490,0.273779077010859
"Democratic Republic of Congo","COD",2010,427.2,124.69533038,42720,0.291889818305243
"Democratic Republic of Congo","COD",2015,246,80.7643177363,24600,0.328310234700407
"Djibouti","DJI",2000,57.3,0.198521510076,5730,0.00346459877968586
"Djibouti","DJI",2005,40.8,0.716740979412,4080,0.0175671808679412
"Djibouti","DJI",2010,7.7,0.0294694316363,770,0.0038271989138052
"Djibouti","DJI",2015,25.4,0.0893739069433,2540,0.00351865775367323
