"ENTITY","CODE","YEAR","DEATHS_PER_100K","HIGHER_LVL_CAT","AGE_GROUP","ABS_DEATHS","TOTAL_ABS_DEATHS","DEATHS_PER_100K_BD"
"South Asia",NA,2009,3.8804784475,"Regional","50-69",5709.05598428,60283.07348239,0.367497332547934
"South Asia",NA,2010,3.80429978342,"Regional","Under 5",25723.3562906,59394.31670319,1.64762159406927
"South Asia",NA,2010,3.80429978342,"Regional","70 or older",3160.61495932,59394.31670319,0.202442379551263
"South Asia",NA,2010,3.80429978342,"Regional","5-14",14295.6273204,59394.31670319,0.915657506266585
"South Asia",NA,2010,3.80429978342,"Regional","15-49",10341.6995892,59394.31670319,0.662402190835798
"South Asia",NA,2010,3.80429978342,"Regional","50-69",5873.01854367,59394.31670319,0.376176112697083
"South Asia",NA,2011,3.77284186349,"Regional","Under 5",25438.3640343,59271.51594001,1.61924194522785
"South Asia",NA,2011,3.77284186349,"Regional","70 or older",3271.50754574,59271.51594001,0.208243039334168
"South Asia",NA,2011,3.77284186349,"Regional","5-14",14170.8653161,59271.51594001,0.902025754842732
"South Asia",NA,2011,3.77284186349,"Regional","15-49",10375.8432019,59271.51594001,0.66045915951867
"South Asia",NA,2011,3.77284186349,"Regional","50-69",6014.93584197,59271.51594001,0.382871964566578
"South Asia",NA,2012,3.63453999456,"Regional","Under 5",23933.5314423,57296.56870861,1.51819522876641
"South Asia",NA,2012,3.63453999456,"Regional","70 or older",3326.67456867,57296.56870861,0.211023662345418
"South Asia",NA,2012,3.63453999456,"Regional","5-14",13746.5123505,57296.56870861,0.871993734523537
"South Asia",NA,2012,3.63453999456,"Regional","15-49",10239.151055,57296.56870861,0.6495084236021
"South Asia",NA,2012,3.63453999456,"Regional","50-69",6050.69929214,57296.56870861,0.383818945322533
"South Asia",NA,2013,3.62017649115,"Regional","Under 5",23652.9354832,57272.25031687,1.49510103949497
"South Asia",NA,2013,3.62017649115,"Regional","70 or older",3450.14817247,57272.25031687,0.218083718307834
"South Asia",NA,2013,3.62017649115,"Regional","5-14",13560.0855469,57272.25031687,0.857132427017809
"South Asia",NA,2013,3.62017649115,"Regional","15-49",10356.0382738,57272.25031687,0.654604736025489
"South Asia",NA,2013,3.62017649115,"Regional","50-69",6253.0428405,57272.25031687,0.395254570303901
"South Asia",NA,2014,3.64266854481,"Regional","Under 5",23441.1464869,57687.72131382,1.48018200437496
"South Asia",NA,2014,3.64266854481,"Regional","70 or older",3622.68014861,57687.72131382,0.228752717644403
"South Asia",NA,2014,3.64266854481,"Regional","5-14",13482.87001,57687.72131382,0.851370540569838
"South Asia",NA,2014,3.64266854481,"Regional","15-49",10579.0097523,57687.72131382,0.668007423110151
"South Asia",NA,2014,3.64266854481,"Regional","50-69",6562.01491601,57687.72131382,0.41435585911065
"South Asia",NA,2015,3.65248693316,"Regional","Under 5",22708.8281277,57664.77723763,1.43837715113333
"South Asia",NA,2015,3.65248693316,"Regional","70 or older",3833.7382886,57664.77723763,0.24282897940563
"South Asia",NA,2015,3.65248693316,"Regional","5-14",13311.6448575,57664.77723763,0.843159572099364
"South Asia",NA,2015,3.65248693316,"Regional","15-49",10856.1246731,57664.77723763,0.687626926049724
"South Asia",NA,2015,3.65248693316,"Regional","50-69",6954.44129073,57664.77723763,0.440494304471949
"South Asia",NA,2016,3.61271914648,"Regional","Under 5",21687.9271768,56947.52992188,1.37586985540149
"South Asia",NA,2016,3.61271914648,"Regional","70 or older",4015.40342973,56947.52992188,0.254734926542502
"South Asia",NA,2016,3.61271914648,"Regional","5-14",13071.5604275,56947.52992188,0.829252413503812
"South Asia",NA,2016,3.61271914648,"Regional","15-49",10993.2852494,56947.52992188,0.697407809569705
"South Asia",NA,2016,3.61271914648,"Regional","50-69",7179.35363845,56947.52992188,0.455454141462487
"Southeast Asia",NA,1990,5.28717462701,"Regional","Under 5",6594.33798,21678.95606986,1.60826085616998
"Southeast Asia",NA,1990,5.28717462701,"Regional","70 or older",1396.27982756,21678.95606986,0.340531861990567
"Southeast Asia",NA,1990,5.28717462701,"Regional","5-14",2098.64593633,21678.95606986,0.511828499023905
"Southeast Asia",NA,1990,5.28717462701,"Regional","15-49",8907.6022945,21678.95606986,2.17243158237004
